classifier,mean-accuracy,mean-time,core,worker,config,mu_accuracy,t_student_accuracy,first_interval_accuracy,second_interval_accuracy,mu_time,t_student_time,first_interval_time,second_interval_time
knn,0.8360229047371159,149.31060000000002,12,3,processors12_worker3.csv,0.8360229047371159,0.0026518579263723123,0.8333710468107436,0.8386747626634883,149.31060000000002,4.008356324289245,145.30224367571077,153.31895632428927
DecisionTree,0.8230609057782404,14.91,12,3,processors12_worker3.csv,0.8230609057782404,0.006000735862096834,0.8170601699161436,0.8290616416403372,14.91,0.963288349493546,13.946711650506455,15.873288349493546
DecisionTreeSpark,0.8146798542425818,0.8543,12,3,processors12_worker3.csv,0.8146798542425818,0.040081150960052145,0.7745987032825297,0.854761005202634,0.8543,0.30984846512593855,0.5444515348740614,1.1641484651259386
RandomForest,0.8037480478917232,17.7463,12,3,processors12_worker3.csv,0.8037480478917232,0.006311386022428707,0.7974366618692944,0.8100594339141519,17.7463,3.083236560432056,14.663063439567946,20.829536560432057
RandomForestSpark,0.8089536699635607,0.789,12,3,processors12_worker3.csv,0.8089536699635607,0.041264551130065046,0.7676891188334957,0.8502182210936257,0.789,0.1680897971799597,0.6209102028200404,0.9570897971799597
knn,0.844195731389901,152.9617,16,4,processors16_worker4.csv,0.844195731389901,0.0030164590969713944,0.8411792722929297,0.8472121904868724,152.9617,4.42585717708772,148.5358428229123,157.38755717708773
DecisionTree,0.8452368558042685,14.677000000000001,16,4,processors16_worker4.csv,0.8452368558042685,0.004172527425938989,0.8410643283783296,0.8494093832302075,14.677000000000001,0.7813806802231544,13.895619319776847,15.458380680223156
DecisionTreeSpark,0.7625715773034877,0.9460000000000001,16,4,processors16_worker4.csv,0.7625715773034877,0.030922710401410786,0.7316488669020769,0.7934942877048985,0.9460000000000001,0.36769562642218084,0.5783043735778193,1.3136956264221809
RandomForest,0.8078084331077564,16.5139,16,4,processors16_worker4.csv,0.8078084331077564,0.00021037953408096282,0.8075980535736754,0.8080188126418374,16.5139,1.67047841898604,14.84342158101396,18.18437841898604
RandomForestSpark,0.8132222800624674,0.8229000000000001,16,4,processors16_worker4.csv,0.8132222800624674,0.04134009889059929,0.7718821811718681,0.8545623789530667,0.8229000000000001,0.16025768110171817,0.662642318898282,0.9831576811017182
knn,0.8433628318584072,155.3791,4,1,processors4_worker1.csv,0.8433628318584072,0.002918686969756155,0.840444144888651,0.8462815188281634,155.3791,3.634014285580354,151.74508571441964,159.01311428558034
DecisionTree,0.8442477876106194,16.238599999999998,4,1,processors4_worker1.csv,0.8442477876106194,0.004645848298960285,0.839601939311659,0.8488936359095797,16.238599999999998,0.772857413758579,15.465742586241419,17.011457413758578
DecisionTreeSpark,0.7950026028110359,0.8028000000000001,4,1,processors4_worker1.csv,0.7950026028110359,0.03826389330247476,0.7567387095085611,0.8332664961135106,0.8028000000000001,0.3605308999300892,0.4422691000699109,1.1633308999300893
RandomForest,0.8029672045809475,15.8219,4,1,processors4_worker1.csv,0.8029672045809475,0.0067176110224424004,0.7962495935585051,0.8096848156033899,15.8219,1.2461578224888288,14.57574217751117,17.06805782248883
RandomForestSpark,0.811608537220198,0.7541,4,1,processors4_worker1.csv,0.811608537220198,0.035712730617525196,0.7758958066026728,0.8473212678377232,0.7541,0.1213197030003783,0.6327802969996217,0.8754197030003783
knn,0.8435710567412806,153.76769999999996,8,2,processors8_worker2.csv,0.8435710567412806,0.0036480954353619263,0.8399229613059187,0.8472191521766426,153.76769999999996,2.2253799042003797,151.5423200957996,155.99307990420033
DecisionTree,0.8452368558042685,15.5624,8,2,processors8_worker2.csv,0.8452368558042685,0.004835806463127879,0.8404010493411407,0.8500726622673964,15.5624,1.319859177466899,14.242540822533101,16.8822591774669
DecisionTreeSpark,0.7817803227485685,0.7868999999999999,8,2,processors8_worker2.csv,0.7817803227485685,0.04007986264950246,0.741700460099066,0.8218601853980709,0.7868999999999999,0.3221569126622925,0.4647430873377074,1.1090569126622924
RandomForest,0.8082248828735035,10.615100000000002,8,2,processors8_worker2.csv,0.8082248828735035,0.000631138602242866,0.8075937442712606,0.8088560214757463,10.615100000000002,1.1480881957463458,9.467011804253655,11.763188195746348
RandomForestSpark,0.7705882352941177,0.7818,8,2,processors8_worker2.csv,0.7705882352941177,0.03690415572464389,0.7336840795694738,0.8074923910187616,0.7818,0.19190219603329187,0.5898978039667082,0.9737021960332919
